Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
"To verify if the shortcut keys are displayed when ""Help"" is clicked in the ""Description field"" and can be closed of clicking the ""x"" on the top right corner",RP-146,10181,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:yi,,Products Sprint,,,,,,,,Done
"To verify if on selecting a font from ""Font family"" texts appear in the selected font",RP-145,10180,Test,Blocked,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,09/Sep/21 3:38 AM,09/Sep/21 4:50 AM,,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:wr,,Products Sprint,,,,,,,,In Progress
"To verify if other colors can be added from ""More Color""",RP-144,10179,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:51 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:zi,,Products Sprint,,,,,,,,Done
"To verify if on hovering mouse on the ""Description"" field, the cursor becomes a text cursor and on clicking it becomes a blinking text cursor",RP-143,10178,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:52 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:z,,Products Sprint,,,,,,,,Done
"To verify if after clicking, when mouse is hovered away from ""Product Name"" form it glows",RP-142,10177,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:11 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:xi,,Products Sprint,,,,,,,,Done
"To verify if texted typed is underlined on clicking ""Underline"" in ""Description"" field",RP-141,10176,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:y,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Tags"" field can accept white spaces",RP-140,10175,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:13 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:o,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Tags"" field can accept numerical values and special characters",RP-139,10174,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:11 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:wi,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Tags"" field has the required placeholder",RP-138,10173,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:11 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:w,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Tags"" can be left NULL",RP-137,10172,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:53 PM,09/Sep/21 4:50 AM,07/Sep/21 6:11 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:x,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Keywords"" field can accept white spaces",RP-136,10171,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:08 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:09 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:u,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Keywords"" field can accept numerical values and special characters",RP-135,10170,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:13 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:t,,Products Sprint,,,,,,,,Done
" To verify that if ""Meta Tag Keyword"" field has the required placeholder",RP-134,10169,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:m,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Keywords"" can be left NULL",RP-133,10168,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:v,,Products Sprint,,,,,,,,Done
"To verify if after clicking, when mouse is hovered away from ""Meta Tag Keyword "" form it glows",RP-132,10167,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:7,,Products Sprint,,,,,,,,Done
"To verify if when mouse is hovered away from ""Product Tags"" form it glows",RP-131,10166,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008h:m,,Products Sprint,,,,,,,,Done
"To verify if after clicking, when mouse is hovered away from ""Meta Tag Type"" form it glows",RP-130,10165,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:6,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Description"" field can accept numerical values and special characters",RP-129,10164,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:13 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:4,,Products Sprint,,,,,,,,Done
" To verify if after clicking, when mouse is hovered away from ""Meta Tag Description"" form it glows",RP-128,10163,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:13 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:r,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Description"" field can accept white spaces",RP-127,10162,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008f:m,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Description"" field has the required placeholder",RP-126,10161,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:13 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:9,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Description"" can be left NULL",RP-125,10160,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008f:r,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Title"" field can accept white spaces",RP-124,10159,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:54 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:i,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Title"" can be left NULL",RP-123,10158,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:07 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008h:r,,Products Sprint,,,,,,,,Done
"To verify that ""Meta Tag Title"" is of length between 3-255",RP-122,10157,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008h:i,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Title"" field has the required placeholder",RP-121,10156,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008i:,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Name"" field is marked Mandatory",RP-120,10155,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008f:i,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Title"" field is marked Mandatory",RP-119,10154,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008e:,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Name"" field has the required placeholder",RP-118,10153,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008g:i,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Name"" can be left NULL",RP-117,10152,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:10 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008g:,,Products Sprint,,,,,,,,Done
"To verify that ""Product Name"" is of length between 3-255",RP-116,10151,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:55 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008h:,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Name"" field can accept white spaces",RP-115,10150,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:06 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:12 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008d:,,Products Sprint,,,,,,,,Done
"To verify that if ""Meta Tag Title"" field can accept numerical values and special characters",RP-114,10149,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:05 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:13 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008f:,,Products Sprint,,,,,,,,Done
"To verify that if ""Product Name"" field can accept numerical values and special characters",RP-113,10148,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:05 AM,08/Sep/21 3:56 PM,09/Sep/21 4:50 AM,07/Sep/21 6:08 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i00089:,,Products Sprint,,,,,,,,Done
"To verify if on clicking the ""Edit"" button, it opens the ""Edit"" page",RP-112,10147,Test,Done,RP,Retails_Products,software,Aaheli Das,612ef77a8bb88c006f3e353f,,Medium,Done,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,Aaheli Das,612ef77a8bb88c006f3e353f,06/Sep/21 11:05 AM,08/Sep/21 3:50 PM,09/Sep/21 4:50 AM,07/Sep/21 6:06 AM,,0,,,Aaheli Das,612ef77a8bb88c006f3e353f,,,,,,,,,,,RP-171,,,,,,,,,{},,,,,,,0|i0008j:,,Products Sprint,,,,,,,,Done
